
@contest "[USM Q] Fase 1 - Ser o no ser una fase"
@contlen 300
@problems 10
@teams 21
@submissions 207
@p A,Dates,20,0
@p B,Haughty Cuisine,20,0
@p C,Kleptocrat,20,0
@p D,This Takes the Cake,20,0
@p E,Encoded Message,20,0
@p F,The Power of the Dark Side - 2,20,0
@p G,Table,20,0
@p H,Noonerized Spumbers,20,0
@p I,GPS I Love You,20,0
@p J,Bidirectional Code,20,0
@t 0,0,1,"abner_vidal"
@t 1,0,1,"CharlesLakes"
@t 2,0,1,"Johannsonmanson"
@t 3,0,1,"storrealbac"
@t 4,0,1,"Xazshy"
@t 5,0,1,"Laxaro"
@t 6,0,1,"Lucas Morrison"
@t 7,0,1,"Franko20"
@t 8,0,1,"cromane"
@t 9,0,1,"sofiis"
@t 10,0,1,"Tocomplemaxxing"
@t 11,0,1,"tito03"
@t 12,0,1,"Vichoooz"
@t 13,0,1,"TioPanda"
@t 14,0,1,"ShadierPrune"
@t 15,0,1,"Matias Rojas"
@t 16,0,1,"ZoddaxX"
@t 17,0,1,"benjamin_Olguin"
@t 18,0,1,"Zilert"
@t 19,0,1,"Rodrigo Ramirez"
@t 20,0,1,"Scarl3th"
@s 1,A,1,788,OK
@s 0,A,1,886,OK
@s 3,A,1,901,OK
@s 6,A,1,1011,OK
@s 8,A,1,1355,OK
@s 4,?,1,1426,??
@s 1,G,1,1457,OK
@s 2,A,1,1847,OK
@s 2,E,1,1866,CE
@s 3,G,1,1876,WA
@s 5,A,1,1886,OK
@s 2,E,2,1890,OK
@s 0,E,1,2014,OK
@s 1,E,1,2315,OK
@s 3,E,1,2451,OK
@s 0,G,1,2584,OK
@s 3,G,2,2742,WA
@s 3,G,3,2813,WA
@s 15,A,1,2813,OK
@s 8,G,1,2818,WA
@s 19,G,1,2907,WA
@s 13,A,1,2959,OK
@s 10,A,1,3079,OK
@s 3,G,4,3115,WA
@s 2,F,1,3365,TL
@s 6,E,1,3454,OK
@s 3,G,5,3508,WA
@s 1,F,1,3541,WA
@s 12,A,1,3566,RT
@s 4,A,1,3594,CE
@s 4,A,2,3660,OK
@s 12,A,2,3688,OK
@s 3,G,6,3728,OK
@s 10,E,1,3878,WA
@s 0,F,1,4047,WA
@s 1,F,2,4074,TL
@s 1,F,3,4145,WA
@s 1,F,4,4172,OK
@s 10,E,2,4185,OK
@s 6,G,1,4562,OK
@s 17,A,1,4583,OK
@s 16,E,1,4666,OK
@s 7,E,1,4681,OK
@s 2,F,2,4857,WA
@s 8,E,1,4898,OK
@s 2,B,1,5040,OK
@s 18,B,1,5040,CE
@s 11,A,1,5053,WA
@s 4,B,1,5070,OK
@s 0,F,2,5087,WA
@s 18,B,2,5098,RT
@s 3,B,1,5123,WA
@s 6,B,1,5124,OK
@s 16,B,1,5127,WA
@s 18,B,3,5159,OK
@s 8,G,2,5180,WA
@s 4,E,1,5198,OK
@s 3,B,2,5265,OK
@s 5,H,1,5373,OK
@s 1,B,1,5399,OK
@s 7,G,1,5408,WA
@s 9,B,1,5444,WA
@s 12,B,1,5506,RT
@s 0,F,3,5556,WA
@s 12,B,2,5590,WA
@s 15,E,1,5614,OK
@s 0,B,1,5733,WA
@s 16,B,2,5762,OK
@s 13,B,1,5781,WA
@s 11,A,2,5860,OK
@s 1,H,1,5867,WA
@s 13,B,2,5868,WA
@s 0,B,2,5894,OK
@s 14,B,1,5942,OK
@s 12,B,3,6011,WA
@s 9,B,2,6027,OK
@s 1,H,2,6060,OK
