
@contest "[UTFSM Q 2025] Fase 1"
@contlen 180
@problems 14
@teams 35
@submissions 327
@p A,"Just One More Bro, I Swear",20,0
@p B,Another Trip,20,0
@p C,Whose Turn Is It?,20,0
@p D,Spicy or Grilled?,20,0
@p E,Correcting Exams,20,0
@p F,Odd/Even Strings,20,0
@p G,Building Strings,20,0
@p H,01 (Easy Version),20,0
@p I,Modest Numbers,20,0
@p J,Fiborooji Sequence,20,0
@p K,Swaps,20,0
@p L,Space Station Shielding,20,0
@p M,What's In A Name,20,0
@p N,Brackets,20,0
@t 1,0,1,abner_vidal
@t 2,0,1,storrealbac
@t 3,0,1,CharlesLakes
@t 4,0,1,Johannsonmanson
@t 5,0,1,Xazshy
@t 6,0,1,evwng
@t 7,0,1,Laxaro
@t 8,0,1,Scarl3th
@t 9,0,1,lucas.morrison
@t 10,0,1,calvito
@t 11,0,1,ZoddaxX
@t 12,0,1,Rafoka
@t 13,0,1,bastifwp
@t 14,0,1,BastianJimenez
@t 15,0,1,poloyuyu
@t 16,0,1,phisket
@t 17,0,1,maximh
@t 18,0,1,IsBelu
@t 19,0,1,Yusei_Futuro
@t 20,0,1,IncognitoDR
@t 21,0,1,Gernand0
@t 22,0,1,mochytk
@t 23,0,1,Donkam
@t 24,0,1,ferniwispiwis
@t 25,0,1,Marceantasy
@t 26,0,1,nashiturris
@t 27,0,1,Bast1pp
@t 28,0,1,cigarro7
@t 29,0,1,phisket
@t 30,0,1,Nashtown
@t 31,0,1,PappusTheorem
@t 32,0,1,XavRan
@t 33,0,1,skiesfallen
@t 34,0,1,JOliva
@t 35,0,1,sophiatapia88
@s 13,A,1,37,OK
@s 1,A,1,38,OK
@s 2,A,1,44,OK
@s 8,A,1,46,OK
@s 12,A,1,46,OK
@s 11,A,1,56,OK
@s 6,A,1,60,OK
@s 7,A,1,69,OK
@s 15,A,1,75,OK
@s 20,A,1,85,OK
@s 9,A,1,98,OK
@s 13,B,1,115,OK
@s 2,B,1,116,OK
@s 8,B,1,127,OK
@s 1,B,1,129,OK
@s 21,A,1,153,CE
@s 12,B,1,155,OK
@s 6,B,1,172,OK
@s 18,A,1,172,OK
@s 11,B,1,186,OK
@s 15,B,1,198,OK
@s 7,B,1,206,OK
@s 9,B,1,209,OK
@s 24,A,1,219,OK
@s 3,A,1,220,OK
@s 14,A,1,222,OK
@s 19,A,1,233,CE
@s 20,B,1,266,OK
@s 5,A,1,284,OK
@s 10,B,1,299,OK
@s 4,A,1,306,RJ
@s 21,A,2,343,OK
@s 8,C,1,361,OK
@s 9,C,1,369,RJ
@s 10,A,1,376,OK
@s 14,B,1,379,OK
@s 5,B,1,400,OK
@s 18,B,1,406,OK
@s 1,C,1,408,OK
@s 4,A,2,430,OK
@s 9,C,2,430,OK
@s 11,C,1,461,OK
@s 17,A,1,477,CE
@s 19,B,1,477,CE
@s 15,C,1,511,OK
@s 12,C,1,520,RJ
@s 17,A,2,538,OK
@s 1,D,1,549,OK
@s 4,B,1,558,OK
@s 8,D,1,574,RJ
@s 21,B,1,589,OK
@s 7,C,1,594,OK
@s 12,C,2,599,OK
@s 8,D,2,625,OK
@s 6,C,1,626,RJ
@s 5,C,1,668,OK
@s 1,E,1,678,OK
@s 9,D,1,683,OK
@s 11,D,1,717,OK
@s 17,B,1,732,OK
@s 2,E,1,746,OK
@s 7,D,1,805,OK
@s 15,D,1,814,OK
